STT,Questions,Entities,Grade,Unit,Assign,Check Done,Cypher Query,Query Type,Note,# Single-Single,# Single-Multi,# Multi-Single,# Multi-Multi,label,event_type
125,Vua Phổ Nghi lên ngôi ở Mãn Châu Quốc vào năm nào?,"Vua Phổ Nghi | Mãn Châu Quốc
nhan_vat | dia_diem",11,50,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_dam_nhiem]-(a) where a.name = ""Vua Phổ Nghi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Mãn Châu Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,1,
126,Ai đã đưa Phổ Nghi lên ngôi vua ở Mãn Châu Quốc?,"Phổ Nghi | Mãn Châu Quốc
nhan_vat | dia_diem",11,50,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_dam_nhiem]-(a) where a.name = ""Phổ Nghi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Mãn Châu Quốc""
match (e)-[:doi_tuong_bo_nhiem]-(c)
return c",single - single,,,,,,1,
127,Phong trào Ngũ tứ diễn ra ở đâu?,"Phong trào Ngũ tứ
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào Ngũ tứ""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
128,Phong trào Ngũ tứ diễn ra vào thời gian nào?,"Phong trào Ngũ tứ
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào Ngũ tứ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
129,Ý nghĩa của Phong trào Ngũ tứ là gì?,"Phong trào Ngũ tứ
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào Ngũ tứ""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
130,Kết quả của Phong trào Ngũ tứ là gì?,"Phong trào Ngũ tứ
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào Ngũ tứ""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,5,
131,Ai đã tham gia cuộc biểu tình tại Quảng trường Thiên An Môn?,"Quảng trường Thiên An Môn
dia_diem",11,51,QuanPV,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Quảng trường Thiên An Môn""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b",single - single,,,,,,1,
132,Mục tiêu của cuộc biểu tình tại Quảng trường Thiên An Môn?,"Quảng trường Thiên An Môn
dia_diem",11,51,QuanPV,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Quảng trường Thiên An Môn""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,1,
133,Kết quả của cuộc biểu tình tại Quảng trường Thiên An Môn?,"Quảng trường Thiên An Môn
dia_diem",11,51,QuanPV,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Quảng trường Thiên An Môn""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
134,Đảng Cộng sản Trung Quốc ra đời trong bối cảnh nào?,"Đảng Cộng sản Trung Quốc
to_chuc",11,51,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",single - single,,,,,,1,
135,Đảng Cộng sản Trung Quốc ra đời vào thời gian nào?,"Đảng Cộng sản Trung Quốc
to_chuc",11,51,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
136,Việc thành lập Đảng Cộng sản Trung Quốc có ý nghĩa gì?,"Đảng Cộng sản Trung Quốc
to_chuc",11,51,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,3,
137,Tổ chức nào đã lãnh đạo trong Chiến tranh Bắc phạt?,"Chiến tranh Bắc phạt
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh Bắc phạt""
match (e)-[:doi_tuong_lanh_dao]-(b)
return b",single - single,,,,,,9,
138,Chiến tranh Bắc phạt bắt đầu vào năm nào?,"Chiến tranh Bắc phạt
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh Bắc phạt""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
139,Chiến tranh Bắc phạt kết thúc vào năm nào?,"Chiến tranh Bắc phạt
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh Bắc phạt""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,5,
140,Cuộc Nội chiến Quốc - Cộng diễn ra ở đâu?,"Cuộc Nội chiến Quốc - Cộng
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Nội chiến Quốc - Cộng""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
141,Cuộc Nội chiến Quốc - Cộng bắt đầu khi nào?,"Cuộc Nội chiến Quốc - Cộng
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Nội chiến Quốc - Cộng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
142,Cuộc Nội chiến Quốc - Cộng kết thúc khi nào?,"Cuộc Nội chiến Quốc - Cộng
tran_chien",11,51,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Nội chiến Quốc - Cộng""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,5,
143,Hội nghị Tuân Nghĩa diễn ra ở đâu?,"Hội nghị Tuân Nghĩa
cuoc_hop",11,51,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
144,Hội nghị Tuân Nghĩa diễn ra vào thời gian nào?,"Hội nghị Tuân Nghĩa
cuoc_hop",11,51,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
145,Kết quả của Hội nghị Tuân Nghĩa là gì?,"Hội nghị Tuân Nghĩa
cuoc_hop",11,51,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Tuân Nghĩa""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,5,
146,Ai đã lãnh đạo phong trào đấu tranh chống thực dân Anh ở Ấn Độ?,"thực dân Anh | Ấn Độ
to_chuc | dia_diem",11,51,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""thực dân Anh""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Ấn Độ""
match (e)-[:doi_tuong_lanh_dao]-(c)
return c",single - single,,,,,,2,
147,Đảng Cộng sản Ấn Độ được thành lập vào năm nào?,"Đảng Cộng sản Ấn Độ
to_chuc",11,51,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản Ấn Độ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
148,Đảng Cộng sản In-đô-nê-xi-a được thành lập vào năm nào?,"Đảng Cộng sản In-đô-nê-xi-a
to_chuc",11,52,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản In-đô-nê-xi-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
149,Những nước nào thành lập Đảng Cộng sản vào năm 1930,"Đảng Cộng sản | năm 1930
to_chuc | thoi_gian",11,52,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1930""
match (e)-[:(dien_ra_o|thuoc)*]-(c)
return c",single - single,,,,,,3,
150,Tổng thống đầu tiên của nước Cộng hòa In-đô-nê-xi-a là ai?,"Tổng thống đầu tiên của nước Cộng hòa In-đô-nê-xi-a
chuc_vu",11,52,QuanPV,FALSE,"match (e:Event)-[:vai_tro]-(a) where a.name = ""Tổng thống đầu tiên của nước Cộng hòa In-đô-nê-xi-a""
match (e)-[:doi_tuong_dam_nhiem]-(b)
return b",single - single,,,,,,,
151,Hội đồng nhân dân In-đô-nê-xi-a được thành lập vào thời gian nào?,"Hội đồng nhân dân In-đô-nê-xi-a
to_chuc",11,52,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội đồng nhân dân In-đô-nê-xi-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
152,Mục đích thành lập Hội đồng nhân dân In-đô-nê-xi-a là gì?,"Hội đồng nhân dân In-đô-nê-xi-a
to_chuc",11,52,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội đồng nhân dân In-đô-nê-xi-a""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,2,
153,Ai đã thành lập Liên minh chính trị In-đô-nê-xi-a?,"Liên minh chính trị In-đô-nê-xi-a
to_chuc",11,52,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh chính trị In-đô-nê-xi-a""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
154,Liên minh chính trị In-đô-nê-xi-a được thành lập vào năm nào?,"Liên minh chính trị In-đô-nê-xi-a
to_chuc",11,52,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh chính trị In-đô-nê-xi-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
155,Bắc Bình vương Nguyễn Huệ lên ngôi Hoàng đế vào năm nào?,"Bắc Bình vương Nguyễn Huệ | Hoàng đế
nhan_vat | chuc_vu",10,21,QuanPV,FALSE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cách mạng tư sản Anh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đầu thế kỉ XVI""
match path = (e)-[:(NextEvent|SubEvent)*]-()
with nodes(e) in path as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",single - single,,,,,,,
156,Trình bày diễn biến của Cách mạng tư sản Anh đầu thế kỉ XVII,"Cách mạng tư sản Anh | đầu thế kỉ XVII
tran_chien | thoi_gian",10,29,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng tư sản Anh"" 
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đầu thế kỉ XVII"" 
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
157,Nguyên nhân của cuộc cách mạng tư sản ở Anh đầu thế kỉ XVII là gì?,"cuộc cách mạng tư sản ở Anh | đầu thế kỉ XVII
tran_chien | thoi_gian",10,29,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc cách mạng tư sản ở Anh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đầu thế kỉ XVII""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
158,cách mạng tư sản Anh đầu thế kỉ XVII đã đem lại kết quả gì?,"cách mạng tư sản Anh | đầu thế kỉ XVII
tran_chien | thoi_gian",10,29,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cách mạng tư sản Anh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""đầu thế kỉ XVII""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
159,trình bày diễn biến chính của Cách mạng Hà Lan vào thế kỉ XVI,"Cách mạng Hà Lan | thế kỉ XVI
tran_chien | thoi_gian",10,29,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Hà Lan""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XVI""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
160,Trận Rạch Gầm - Xoài Mút do ai lãnh đạo?,"Trận Rạch Gầm - Xoài Mút
tran_chien",10,21,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Rạch Gầm - Xoài Mút""
match (e)-[:doi_tuong_lanh_dao]-(b)
return b",single - single,,,,,,9,
161,hãy nêu ý nghĩa của cách mạng tư sản Hà Lan (thế kỉ XVI),"cách mạng tư sản Hà Lan | thế kỉ XVI
tran_chien | thoi_gian",10,29,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cách mạng tư sản Hà Lan""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XVI""
match (e)-[:y_nghia]-(c)
return c",single - single,,,,,,5,
162,"nguyên nhân, bối cảnh của cuộc cách mạng tư sản Hà Lan vào thế kỉ XVI là gì?","cuộc cách mạng tư sản Hà Lan | thế kỉ XVI
tran_chien | thoi_gian",10,29,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc cách mạng tư sản Hà Lan""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XVI""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
163,Trận Rạch Gầm - Xoài Mút bắt đầu vào thời gian nào?,"Trận Rạch Gầm - Xoài Mút
tran_chien",10,21,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Rạch Gầm - Xoài Mút""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
164,Nước Mĩ được thành lập trong hoàn cảnh nào?,"Nước Mĩ
dia_diem",10,30,NgocLD,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Nước Mĩ""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
165,Hiệp định đình chiến giữa Pháp và Đức có nội dung gì?,"Hiệp định đình chiến | Pháp | Đức
hiep_dinh | dia_diem | dia_diem",11,53,LongLPH,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định đình chiến""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Pháp""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Đức""
match (e)-[:mo_ta]-(d)
return d",single - single,,,,,,2,
166,Trận Ngọc Hồi - Đống Đa bắt đầu vào thời gian nào?,"Trận Ngọc Hồi - Đống Đa
tran_chien",11,21,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Ngọc Hồi - Đống Đa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
167,sự kiện gì đã dẫn đến sự ra đời của Hợp chủng quốc Mĩ ngày 4-7-1776,"Hợp chủng quốc Mĩ | ngày 4-7-1776
to_chuc | thoi_gian",10,30,NgocLD,TRUE,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Hợp chủng quốc Mĩ""
match (e1)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name=""ngày 4-7-1776""
match path=(e)-[*0..1]-(y:Entity)
return path",multi - multi,,,,,,1,
168,Trận Ngọc Hồi - Đống Đa kết thúc vào thời gian nào?,"Trận Ngọc Hồi - Đống Đa
tran_chien",10,21,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Ngọc Hồi - Đống Đa""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,5,
169,Trận Ngọc Hồi - Đống Đa do ai lãnh đạo?,"Trận Ngọc Hồi - Đống Đa
tran_chien",10,21,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Trận Ngọc Hồi - Đống Đa"" 
match (e)-[:doi_tuong_lanh_dao]-(b)
return b",single - single,,,,,,9,
170,Cuộc khởi nghĩa của Phan Bá Vành diễn ra ở đâu?,"Phan Bá Vành
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Phan Bá Vành""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,4,
171,Nguyễn Nhạc lên ngôi Hoàng đế vào năm nào?,"Nguyễn Nhạc | Hoàng đế
nhan_vat | chuc_vu",11,21,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_dam_nhiem]-(a) where a.name = ""Nguyễn Nhạc""
match (e)-[:vai_tro]-(b) where b.name = ""Hoàng đế""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,1,
172,trình bày diễn biến chính cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh ở Bắc Mĩ,"cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh | Bắc Mĩ
tran_chien | dia_diem",10,30,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Bắc Mĩ""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
173,Nêu kết quả của Chiến tranh giành độc lập của 13 thuộc địa Anh ở Bắc Mĩ,"Chiến tranh giành độc lập của 13 thuộc địa Anh | Bắc Mĩ
tran_chien | dia_diem",10,30,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh giành độc lập của 13 thuộc địa Anh""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Bắc Mĩ""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
173-1,Nêu ý nghĩa của Chiến tranh giành độc lập của 13 thuộc địa Anh ở Bắc Mĩ,"Chiến tranh giành độc lập của 13 thuộc địa Anh | Bắc Mĩ
tran_chien | dia_diem",,,,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh giành độc lập của 13 thuộc địa Anh ""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Bắc Mĩ""
match (e)-[:y_nghia]-(c)
return c",single - single,,,,,,2,
174,Cuộc khởi nghĩa của Phan Bá Vành bắt đầu vào năm nào?,"Phan Bá Vành 
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Phan Bá Vành""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,2,
175,Trình bày quá trình thống nhất I-ta-li-a vào giữa thế kỉ XIX,"I-ta-li-a | giữa thế kỉ XIX
dia_diem | thoi_gian",10,,NgocLD,FALSE,"match (e:Event)-[:doi_tuong_duoc_thong_nhat]-(a) where a.name = ""I-ta-li-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XIX""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",single - multi,,,,,,,
176,Cuộc khởi nghĩa của Phan Bá Vành kết thúc vào năm nào?,"Phan Bá Vành
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Phan Bá Vành""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,2,
177,Các nước nào mở Mặt trận thứ hai ở Tây Âu?,"Mặt trận thứ hai | Tây Âu
tran_chien | dia_diem",11,53,LongLPH,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Mặt trận thứ hai""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Tây Âu""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c",single - single,,,,,,1,
178,Cuộc khởi nghĩa của Cao Bá Quát diễn ra ở đâu?,"Cao Bá Quát
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Cao Bá Quát""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,4,
179,Cuộc khởi nghĩa của Cao Bá Quát diễn ra vào năm nào?,"Cao Bá Quát
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Cao Bá Quát""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
180,Nguyên nhân dẫn đến Chiến tranh thế giới thứ nhất vào 1914-1918?,"Chiến tranh thế giới thứ nhất | 1914 | 1918
tran_chien | thoi_gian | thoi_gian",10,32,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name=""Chiến tranh thế giới thứ nhất""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b) where b.name=""1914""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(c) where b.name=""1918""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(d) where (d)<-[:Causal*0..]-() and (d)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
181,Cuộc khởi nghĩa của Lê Văn Khôi diễn ra ở đâu?,"Lê Văn Khôi
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Lê Văn Khôi""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,4,
182,Kết quả cuộc nội chiến Mĩ vào giữa thế kỉ XIX là gì?,"cuộc nội chiến Mĩ | giữa thế kỉ XIX
tran_chien | thoi_gian",10,32,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc nội chiến Mĩ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""giữa thế kỉ XIX""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
183,Mĩ ném bom vào thành phố Hi-rô-si-ma vào thời gian nào?,"Mĩ | thành phố Hi-rô-si-ma
to_chuc | dia_diem",11,53,LongLPH,TRUE,"match (e:NemBom)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Mĩ""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where a.name = ""thành phố Hi-rô-si-ma""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,1,
184,Cuộc khởi nghĩa của Nông Văn Vân diễn ra ở đâu?,"Nông Văn Vân
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Nông Văn Vân""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,4,
185,Cuộc khởi nghĩa của Nông Văn Vân bắt đầu vào thời điểm nào?,"Nông Văn Vân
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Nông Văn Vân""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,2,
186,Cuộc khởi nghĩa của Nông Văn Vân kết thúc vào thời điểm nào?,"Nông Văn Vân
nhan_vat",10,24,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Nông Văn Vân""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,2,
